id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
304,Maxillary premolar molarization,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The degree of molarization on maxillary premolars.,3,None (0); Minor (1); Marked (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The degree of molarization on maxillary premolars. (Ordered). States: None (0); Minor (1); Marked (2),,
305,Buccal grooves on maxillary premolars,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The development of buccal grooves on maxillary premolars.,3,Marked (0); Weak (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of buccal grooves on maxillary premolars. (Unordered). States: Marked (0); Weak (1),,
306,P3 position,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The position of P3 relative to canine.,2,Posterior (0); Posterolateral (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of P3 relative to canine. (Unordered). States: Posterior (0); Posterolateral (1),,
307,Maxillary P3 cusp heteromorphy,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The size of paracone of upper premolars relative to the protocone.,2,Paracone much larger than protocone (0); Paracone larger than protocone (1); Paracone equals protocone (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The size of paracone of upper premolars relative to the protocone. (Ordered). States: Paracone much larger than protocone (0); Paracone larger than protocone (1); Paracone equals protocone (2),,
308,Maxillary P3 root number,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The number of roots on maxillary P3.,3,Two (0); >Two (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of roots on maxillary P3. (Unordered). States: Two (0); >Two (1),,
309,Maxillary P3 mesiobuccal line extent,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The extent of mesiobuccal line on maxillary P3.,2,Always (0); Frequent (1); Rare (2); Absent (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The extent of mesiobuccal line on maxillary P3. (Ordered). States: Always (0); Frequent (1); Rare (2); Absent (3),,
310,Mandibular P3 root number,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The number of roots on mandibular P3.,4,One (0); Two (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of roots on mandibular P3. (Unordered). States: One (0); Two (1),,
311,Frequency of well developed metaconid on mandibular P3,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The frequency of a well-developed P3 metacnoid within each species sample.,2,Absent (0); Infrequent (1); Frequent (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The frequency of a well developed P3 metaconid within each species sample. (Ordered). States: Absent (0); Infrequent (1); Frequent (2),"This feature is a slight alteration of S&M 32. Their characterization of this character, and therefore the character state distributions that they recognized are altered. We refer to the frequency of a well-developed p3 metaconid within each species sample. Three states are recognized, being (0) metaconid absent, (1) metaconid infrequent, and (2) metaconid frequent. In addition to S&M 32, Skelton & McHenry (1992) employed four other characters that reflect p3 metaconid development. S&M 33 (‘‘p3 talonid height’’) is clearly related to the size of the metaconid, and indeed, the codes that they provide for these ‘‘two’’ features (S&M 32 and 33) have exactly the same distributions. S&M 34 (‘‘robust’’ features of p3) is not a single character, but a compilation of several components, which are related to the overall size of the crown, the size of the metaconid, and talonid development. This morphology has been accommodated in the present study by characters 53 and 58. S&M 35 (‘‘crown shape index of p3’’) is related to metaconid development, because a large metaconid will result in lingual expansion of the crown and, therefore, an increased BL diameter. Also, because the p3s in Pan, Gorilla, and A. afarensis are set at an angle to the tooth row, their MD and BL diameters are not strictly comparable with those recorded for the premolars of other species (White et al., 1981). Finally, S&M 35 is little more than a metrical statement of S&M 36 (‘‘p3 occlusal outline shape’’). Pg. 78",
312,Mandibular P3 shape,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The shape and symmetry of mandibular P3.,3,"Asymmetrical (0); Less asymmetrical, talonid reduced (1); Much less asymmetrical, talonid absent (2); Circular (3)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The shape and symmetry of mandibular P3. (Ordered). States: Asymmetrical (0); Less asymmetrical, talonid reduced (1); Much less asymmetrical, talonid absent (2); Circular (3)",,
313,Lingual cusp on mandibular P4,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The number of cusps on mandibular P4.,4,"Two, mesial cusp much larger (0); Two, mesial cusp larger (1); Two, cusps equal size (2); Two, distal cusp larger (3)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The number of cusps on mandibular P4. (Unordered); States: Two mesial cusp much larger (0); Two, mesial cusp larger (1); Two, cusps equal size (2); Two, distal cusp larger (3)",,
314,Mandibular P4 root number,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The number of roots on mandibular P4.,4,One (0); Two (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of roots on mandibular P4. (Unordered). States: One (0); Two (1),,
315,Mandibular P4 shape,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The symmetry of mandibular P4.,2,"Asymmetrical, wide polygon (0); Asymmetrical, reduced polygon (1); Symmetrical (2)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The symmetry of mandibular P4. (Ordered). States: Asymmetrical, wide polygon (0); Asymmetrical, reduced polygon (1); Symmetrical (2)",,
316,Postcanine crown area,Molar,DEN,D,OM,PHY,,UBERON:0003655,The summed area of postcanine teeth.,3,Small (0); Moderate (1); Large (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The summed area of postcanine teeth. (Ordered). States: Small (0); Moderate (1); Large (2),,
317,Size of M1 relative to M2,Molar,DEN,C,UM,PHY,,UBERON:0003655,The ratio of crown area of M1 relative to M2.,3,≥ 1 (0); <1 (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The ratio of crown area of M1 relative to M2. (Unordered). States: >= 1 (0); <1 (1),,
318,Size of M1 relative to M3,Molar,DEN,C,UM,PHY,,UBERON:0003655,The ratio of crown area of M1 relative to M3.,2,≥ 1 (0); <1 (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The ratio of crown area of M1 relative to M3. (Unordered). States: >= 1(0); <1 (1),,
319,Size of M2 relative to M3,Molar,DEN,C,UM,PHY,,UBERON:0003655,The ratio of crown area of M2 relative to M3.,2,≥ 1 (0); <1 (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The ratio of crown area of M2 relative to M3. (Unordered). States: >= 1 (0); <1 (1),,
320,Molar cingulum development,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of molar cingulum on maxillary molars.,2,"Reduced, incomplete (0); Fragmented or absent (1)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of molar cingulum on maxillary molars. (Unordered). States: Reduced, incomplete (0); Fragmented or absent (1)",,
321,Molar dentine horn height,Molar,DEN,D,UM,PHY,,UBERON:0003655,The height of the molar dentine horns.,2,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The height of the molar dentine horns. (Unordered). States: High (0); Low (1),,
322,Maxillary molar morphology,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of cusps and enamel on the maxillary molar.,2,"Well developed cusps and cristae (0); Inflated cusps, limited cristae (1); Low cusps with enamel wrinkling (2); Flat, bunodont morphology (3)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of cusps and enamel on the maxillary molar. (Unordered). States: Well developed cusps and cristae (0); Inflated cusps, limited cristae (1); Low cusps with enamel wrinkling (2); Flat bunodont morphology (3)",,
323,Protocristid groove prominence of mandibular molars,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of protocristic groove on molars.,4,Prominent (0); Barely visible (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of protocristic groove on molars. (Unordered). States: Prominent (0); Barely visible (1),,
324,Lingual marginal ridge development,Molar,DEN,D,OM,PHY,,UBERON:0003655,The development of the lingual marginal ridges of molars.,2,Hardly appreciable (0); More prominent (1); Very prominent (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the lingual marginal ridges of molars. (Ordered). States: Hardly appreciable (0); More prominent (1); Very prominent (2),,
325,Positions of buccal and lingual cusps relative to crown margin,Molar,DEN,D,UM,PHY,,UBERON:0003655,The positions of the buccal and lingual cusp tips relative to the crown base.,3,"BC and LC at margin (0); LC margin, BC slightly lingual (1); LC margin, BC moderately lingual (2); LC slightly buccal, BC moderately lingual (3); LC moderately buccal, BC strongly lingual (4)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The positions of the buccal and lingual cusp tips relative to the crown base. (Unordered). States: BC and LC at margin (0); LC margin, BC slightly lingual (1); LC margin, BC moderately lingual (3); LC moderately buccal, BC strongly lingual (4)",,
326,Protoconid/metaconid more mesial cusp on molars,Molar,DEN,D,UM,PHY,,UBERON:0003655,The most mesial cusp on mandibular molars.,5,Equal (0); Protoconid (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The most mesial cusp on mandibular molars. (Unordered). States: Equal (0); Protoconid (1),,
327,Peak of enamel thickness between the roots of molars,Molar,DEN,D,UM,PHY,,UBERON:0003655,The thickness of enamel between the roots of molars.,2,Thin (0); Thicker (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The thickness of enamel between the roots of molars. (Unordered). Thin (0); Thicker (1),,
328,Maxillary M1 shape,Molar,DEN,D,UM,PHY,,UBERON:0003655,The shape of maxillary M1.,2,Squared (0); Rhomboidal (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of maxillary M1. (Unordered). States: Squared (0); Rhomboidal (1),,
329,Cusp 5 on maxillary M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of cusp 5 on maxillary M1.,2,Faint cuspule (0); Trace cuspule (1); Small cuspule (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of cusp 5 on maxillary M1. (Unordered). States: Faint cuspule (0); Trace cuspule (1); Small cuspule,,
330,Enamel extension on maxillary M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The extension of enamel on maxillary M1.,3,Absent (0); Faint (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The extension of enamel on maxillary M1. (Unordered). States: Absent (0); Faint (1),,
331,Carabelli's cusp on mandibular M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of Carabelli's cusp of maxillary M1.,2,"Lingual cingulum (0); Absent (1); Groove, small cusp (2); Pit, small cusp (3); Large depression, cusp (4)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of Carabelli's cusp of maxillary M1. (Unordered). States: Lingual cingulum (0); Absent (1); Groove, small cusp (2); Pit, small cusp (3); Large depression, cusp (4)",,
332,Anterior fovea on mandibular M1,Molar,DEN,D,OM,PHY,,UBERON:0003655,The development of anterior fovea of mandibular M1.,5,Faint (0); Weak (1); Moderate (2); Large (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of anterior fovea of mandibular M1. (Ordered). States: Faint (0); Weak (1); Moderate (2); Large (3),,
333,Cusp number on mandibular M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The number of cusps on mandibular M1.,4,Five (0); Six (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of cusps on mandibular M1. (Unordered). States: Five (0); Six (1),,
334,Protostylid on mandibular M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of protostylid of mandibular M1.,2,Absent (0); Absent-pit (1); Curved buccal groove (2); Curved mesial and distal grooves (3); Trace cusp (4); Small cusp (5),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of protostylid of mandibular M1. (Unordered). Absent (0); Absent-pit (1); Curved buccal groove (2); Curved mesial and distal grooves (3); Trace cusps (4); Small cusps (5),,
335,Cusp 7 on mandibular M1,Molar,DEN,D,OM,PHY,,UBERON:0003655,The development of cusp 7 on mandibular M1,6,Absent (0); Faint (1); Small (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of cusp 7 on mandibular M1. (Ordered). States: Absent (0); Faint (1); Small (2),,
336,Root number on mandibular M1,Molar,DEN,D,UM,PHY,,UBERON:0003655,The number of roots on mandibular M2.,3,Two (0),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of roots on mandibular M2. (Unordered). States: Two (0),,
337,Presence of mid-trigonid crest in mandibular M1 and/or M2,Molar,DEN,D,UM,PHY,,UBERON:0003655,The presence of mid trigonid crest on mandibular M1 and M2.,1,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of mid trigonid crest on mandibular M1 and M2. (Unordered). States: Absent (0); Present (1),,
338,Absence of cusp 5 in mandibular M1 and/or M2,Molar,DEN,D,UM,PHY,,UBERON:0003655,The presence of cusp 5 on mandibular M1 and M2.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of cusp 5 on mandibular M1 and M2. (Unordered). States: Present (0); Absent (1),,
339,Maxillary M2 shape,Molar,DEN,D,UM,PHY,,UBERON:0003655,The shape of the maxillary M2 measured by the length divided by breadth of the molar crown.,2,Broader than Long (0); Square (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of the maxillary M2 measured by the length divided by breadth of the molar crown. (Unordered). States: Broader than Long (0); Square (1),,
340,Hypocone on maxillary M2,Molar,DEN,D,OM,PHY,,UBERON:0003655,The development of hypocone on maxillary M2.,3,Small cusp (0); Large cusp (1); Very large cusp (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of hypocone on maxillary M2. (Ordered). States: Small cusp (0); Large cusp (1); Very large cusp (2),,
341,Groove pattern on mandibular M2,Molar,DEN,D,UM,PHY,,UBERON:0003655,The groove pattern of mandibular M2.,3,Y (0); Some X (1); X (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The groove pattern of mandibular M2. (Unordered). States: Y (0); Some X (1); X (2),,
342,Cusp number on mandibular M2,Molar,DEN,D,OM,PHY,,UBERON:0003655,The number of cusps on mandibular M2.,3,Four (0); Five (1); Six (2); Greater than 6 (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of cusps on mandibular M2. (Ordered). States: Four (0); Five (1); Six (2); Greater than 6 (3),,
343,Root number on mandibular M2,Molar,DEN,D,UM,PHY,,UBERON:0003655,The number of roots on mandibular M2.,4,Less than 2 (0); Two (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of roots on mandibular M2. (Unordered). States: Less than 2 (0); Two (1),,
344,Maxillary M3 agenesis,Molar,DEN,D,UM,PHY,,UBERON:0003655,The degree of maxillary M3 agenesis.,2,Absent (0); Minimal (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The degree of maxillary M3 agenesis. (Unordered). Absent (0); Minimal (1),,
345,Torsomolar angle on mandibular M3,Molar,DEN,D,UM,PHY,,UBERON:0003655,The torsomolar angle on mandibular M3.,2,Absent (0); Minimal (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The torsomolar angle on mandibular M3. (Unordered). States: Absent (0); Minimal (1),,
346,Protocone size relative to paracone of deciduous m1,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The protocone size of maxillary deciduous m1 in crown view.,2,Larger than paracone (0); Smaller than paracone (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The protocone size of maxillary deciduous m1 in crown view. (Unordered). States: Larger than paracone (0); Smaller than paracone (1),,
347,Deciduous mandibular m1 shape,Molar,DEN,D,UM,PHY,,UBERON:0003655,The shape of deciduous mandibular m1.,2,Buccolingually narrow (0); Buccolingually broad (1); Molarized (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of deciduous mandibular m1. (Unordered). States: Buccolingually narrow (0); Buccolingually broad (1); Molarized (2). ,,
348,Talonid basin of deciduous m1,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The distal opening of the talonid basin on mandibular deciduous m1.,3,Open distally (0); Closed distally (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The distal opening of the talonid basin on mandibular deciduous m1. (Unordered). States: Open distally (0); Closed distally (1),,
349,Presence of metaconid of mandibular deciduous m1,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The presence of the metaconid on mandibular deciduous m1.,2,Absent or poorly defined (0); Well defined (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of the metaconid on mandibular deciduous m1. (Unordered). Absent or poorly defined (0); Well defined (1),,
350,Distal trigonid crest on mandibular deciduous m2,Premolar,DEN,D,UM,PHY,,UBERON:0007120,The length of crista obliqua relative to protoconid apex.,2,Does not reach protoconid apex (0); Reaches protoconid apex (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The length of crista obliqua relative to protoconid apex. (Unordered). States: Does not reach protoconid apex (0); Reaches protoconid apex (1),,
351,Crista obliqua of maxillary deciduous m2,Premolar,DEN,D,OM,PHY,,UBERON:0007120,The development of the post-protocrista on maxillary deciduous m2.,2,Weak (0); Moderate (1); Strong (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the post-protocrista on maxillary deciduous m2. (Ordered). States: Weak (0); Moderate (1); Strong (2),,
352,Mandibular symphysis robusticity,Mandible,CR,C,OM,PHY,,UBERON:0001684,The index of mandibular symphysis breadth divided by mandibular height.,3,Gracile (0); Intermediate (1); Robust (2); Extremely robust (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of mandibular symphysis breadth divided by mandibular height. (Ordered). States: Gracile (0); Intermediate (1); Robust (2); Extremely robust (3),,
353,Mandibular symphysis orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of the mandibular symphysis.,4,Receding (0); Vertical (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the mandibular symphysis. (Unordered). States: Receding (0); Vertical (1),"S&M 49 characterize the orientation of the mandibular symphysis as ranging through six states from ‘‘very receding’’ to ‘‘vertical’’. Our assignments are more conservative in that only three states are recognized, (0) receding, (1) intermediate and (2) vertical. Contra S&M 49, the symphysis in A. aethiopicus is considered to be vertical. Pg. 74",
354,Projection of mental protruberance,Mandible,CR,D,OM,PHY,,UBERON:0001684,The degree of mental protuberance projection.,2,Absent (0); Weakly projecting (1); Strongly projecting (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The degree of mental protuberance projection. (Ordered). States: Absent (0); Weakly projecting (1); Strongly projecting (2),,
355,Central keel,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of a central keel.,3,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a central keel. (Unordered). States: Absent (0); Present (1),,
356,Mandibular incurvation,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of a depression on the anterosuperior symphyseal region in norma lateralis,2,Absent (0); Weakly developed (1); Strongly developed (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of a depression on the anterosuperior symphyseal region in norma lateralis. (Ordered). States: Absent (0); Weakly developed (1); Strongly developed (2),,
357,Incisura submentalis,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of semilunar space beneath the inferior rim of the symphysis,3,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of semilunar space beneath the inferior rim of the symphysis. (Unordered). States: Absent (0); Present (1),,
358,Medial crest in digastric fossa,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of a medial crest in digastric fossa.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a medial crest in digastric fossa. (Unordered). States: Absent (0); Present (1),,
359,Digastric fossa direction,Mandible,CR,D,OM,PHY,,UBERON:0001684,The orientation of digastric fossa.,2,Downward (0); Downward-backward (1); Backward (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of digastric fossa. (Ordered). States: Downward (0); Downward-backward (1); Backward (2),,
360,Lateral tubercle,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of a lateral tubercle.,3,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a lateral tubercle. (Unordered). States: Absent (0); Present (1),,
361,Inferior transverse torus development,Mandible,CR,D,UM,PHY,,UBERON:0001684,The development of superior and inferior transverse tori.,2,Inferior torus stronger than superior torus (0); BOTH tori of similar development (1); Superior torus stronger than inferior torus (2); BOTH tori undeveloped (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of superior and inferior transverse tori. (Unordered). States: Inferior torus stronger than superior torus (0); Both tori of similar development (1); Superior torus stronger than inferior torus (2); Both tori undeveloped (3),,
362,Post-incisive planum development,Mandible,CR,D,UM,PHY,,UBERON:0001684,The development of post-incisive planum.,4,Prominent (0); Weak (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of post-incisive planum. (Unordered). States: Prominent (0); Weak (1),,
363,Position of genioglossus insertion,Mandible,CR,D,UM,PHY,,UBERON:0001684,The location of the insertion of genioglossal muscle relative to the inferior transverse torus.,2,Above inferior transverse torus (0); On inferior transverse torus (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the insertion of genioglossal muscle relative to the inferior transverse torus. (Unordered). States: Above inferior transverse torus (0); On inferior transverse torus (1),,
364,Position of geniohyoideus insertion,Mandible,CR,D,OM,PHY,,UBERON:0001684,The location of the geniohyoideus insertion relative to the inferior transverse torus.,2,Basally on inferior transverse torus (0); Higher on inferior transverse torus (1); Above inferior transverse torus (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the geniohyoideus insertion relative to the inferior transverse torus. (Ordered). States: Basally on inferior transverse torus (0); Higher on inferior transverse torus (1); Above inferior transverse torus (2),,
365,Position of digastric insertion,Mandible,CR,D,UM,PHY,,UBERON:0001684,The location of the digastric muscle insertion relative to the inferior transverse torus.,3,Posterior to inferior transverse torus (0); Inferior transverse torus (1); Not on symphysis (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the digastric muscle insertion relative to the inferior transverse torus. (Unordered). States: Posterior to inferior transverse torus (0); Inferior transverse torus (1); Not on symphysis (2),,
366,Fossae genioglossus definition,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of the excavated area delineated by the transverse tori.,3,"Not defined, flat surface (0); Weak (1); Well defined (2)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of the excavated area delineated by the transverse tori. (Ordered). States: Not defined, flat surface (0); Weak (1); Well defined (2)",,
367,Submandibular fossa depth,Mandible,CR,D,UM,PHY,,UBERON:0001684,The depth of submandibular fossa located beneath the alveolar region.,3,Shallow (0); Deep (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of submandibular fossa located beneath the alveolar region. (Unordered). States: Shallow (0); Deep (1),,
368,Anterior marginal tubercle position,Mandible,CR,D,UM,PHY,,UBERON:0001684,The position of the marginal tubercle.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of marginal tubercle. (Unordered). States: Absent (0); Present (1),,
369,Mental foramen opening direction,Mandible,CR,D,OM,PHY,,UBERON:0001684,The direction of the mental foramen opening.,2,Anterior (0); Lateral (1); Posterior (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The direction of the mental foramen opening. (Ordered). States: Anterior (0); Lateral (1); Posterior (2),"S&M 51 characterize the direction of the mental foramen opening as being either anterior or lateral. In addition, the foramen in H. sapiens generally faces posteriorly, although a lateral foramen may be present in 10% of individuals (DeVilliers, 1968). This character is considered unordered. The direction of the foramen opening is variable in A. afarensis (lateral in AL333w-60, LH 4, AL 400-1a; anterior in AL 288-1, AL 333w-12), A. africanus (lateral in MLD 40, Sts 52b; anterior in Sts 36, MLD 2) and G. gorilla. Pg. 75",
370,Mental foramen position,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of the mental foramen along tooth row.,3,P3-P4 (0); P4-M1 (1); M1 (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the mental foramen along tooth row. (Ordered). States: P3-P4 (0); P4-M1 (1); M1 (2),,
371,Mental foramen height,Mandible,CR,C,OM,PHY,,UBERON:0001684,The index of the height of mental foramen position relative to the height of the mandibular corpus.,3,Very low (0); Low (1); Intermediate (2); High (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of the height of mental foramen position relative to the height of the mandibular corpus. (Ordered). States: Very low (0); Low (1); Intermediate (2); High (3),,
372,Mental foramen number,Mandible,CR,D,UM,PHY,,UBERON:0001684,The number of mental foramen.,4,Single (0); Multiple (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of mental foramen. (Unordered). States: Single (0); Multiple (1),,
373,Torus marginalis superius development,Mandible,CR,D,UM,PHY,,UBERON:0001684,The development of the superior marginal torus.,2,Weak/absent (0); Clearly visible (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the superior marginal torus. (Unordered). States: Weak/absent (0); Clearly visible (1),,
374,Torus marginalis inferius development,Mandible,CR,D,UM,PHY,,UBERON:0001684,The development of the inferior marginal torus.,2,Weak/absent (0); Clearly visible (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the inferior marginal torus. (Unordered). States: Weak/absent (0); Clearly visible (1),,
